127.0.0.1 - - [23/Mar/2024:20:58:51 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Mar/2024:20:58:57 +0530] "GET /ProductManagementApplication/ HTTP/1.1" 200 2923
0:0:0:0:0:0:0:1 - - [23/Mar/2024:20:58:58 +0530] "GET /ProductManagementApplication/formvalidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2024:20:58:59 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Mar/2024:20:59:06 +0530] "GET /ProductManagementApplication/productList.jsp HTTP/1.1" 200 15927690
0:0:0:0:0:0:0:1 - - [23/Mar/2024:20:59:18 +0530] "GET /ProductManagementApplication/EditProductServlet?proId=90 HTTP/1.1" 200 3923
0:0:0:0:0:0:0:1 - - [23/Mar/2024:21:10:26 +0530] "GET /ProductManagementApplication/productList.jsp HTTP/1.1" 200 15927690
0:0:0:0:0:0:0:1 - - [23/Mar/2024:21:10:30 +0530] "GET /ProductManagementApplication/DeleteProductServlet?proId=90 HTTP/1.1" 200 7964126
0:0:0:0:0:0:0:1 - - [23/Mar/2024:21:10:31 +0530] "GET /ProductManagementApplication/DeleteProductServlet?proId=140 HTTP/1.1" 200 996
0:0:0:0:0:0:0:1 - - [23/Mar/2024:21:10:33 +0530] "GET /ProductManagementApplication/add-product.html HTTP/1.1" 200 2923
0:0:0:0:0:0:0:1 - - [23/Mar/2024:21:16:06 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Mar/2024:21:17:28 +0530] "POST /ProductManagementApplication/AddProductServlet HTTP/1.1" 200 11644102
0:0:0:0:0:0:0:1 - - [23/Mar/2024:21:17:35 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Mar/2024:21:26:28 +0530] "GET /ProductManagementApplication/EditProductServlet?proId=120 HTTP/1.1" 200 3924
0:0:0:0:0:0:0:1 - - [23/Mar/2024:21:27:50 +0530] "POST /ProductManagementApplication/UpdateProductServlet HTTP/1.1" 500 5658727
0:0:0:0:0:0:0:1 - - [23/Mar/2024:21:28:06 +0530] "GET /ProductManagementApplication/productList.jsp HTTP/1.1" 500 5658656
0:0:0:0:0:0:0:1 - - [23/Mar/2024:21:28:17 +0530] "GET /ProductManagementApplication/productList.jsp HTTP/1.1" 500 5658656
0:0:0:0:0:0:0:1 - - [23/Mar/2024:21:28:23 +0530] "GET /ProductManagementApplication/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2024:21:28:25 +0530] "GET /ProductManagementApplication/productList.jsp HTTP/1.1" 500 5658656
0:0:0:0:0:0:0:1 - - [23/Mar/2024:21:30:41 +0530] "GET /ProductManagementApplication/productList.jsp HTTP/1.1" 200 926
0:0:0:0:0:0:0:1 - - [23/Mar/2024:21:32:10 +0530] "POST /ProductManagementApplication/AddProductServlet HTTP/1.1" 200 7233579
0:0:0:0:0:0:0:1 - - [23/Mar/2024:21:45:21 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Mar/2024:21:47:08 +0530] "POST /ProductManagementApplication/AddProductServlet HTTP/1.1" 200 8179616
0:0:0:0:0:0:0:1 - - [23/Mar/2024:21:47:14 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Mar/2024:21:47:31 +0530] "GET /ProductManagementApplication/productList.jsp HTTP/1.1" 200 8179544
